aaa,aab,aac,aad
button_getDescription,button,getDescription,"(control As IRibbonControl, ByRef description)"
button_getEnabled,button,getEnabled,"(control As IRibbonControl, ByRef enabled)"
button_getImage,button,getImage,"(control As IRibbonControl, ByRef image)"
button_getImageMso,button,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
button_getKeytip,button,getKeytip,"(control As IRibbonControl, ByRef label)"
button_getLabel,button,getLabel,"(control As IRibbonControl, ByRef label)"
button_getScreentip,button,getScreentip,"(control As IRibbonControl, ByRef screentip)"
button_getShowImage,button,getShowImage,"(control As IRibbonControl, ByRef showImage)"
button_getShowLabel,button,getShowLabel,"(control As IRibbonControl, ByRef showLabel)"
button_getSize,button,getSize,"(control As IRibbonControl, ByRef size)"
button_getSupertip,button,getSupertip,"(control As IRibbonControl, ByRef screentip)"
button_getVisible,button,getVisible,"(control As IRibbonControl, ByRef visible)"
button_onAction,button,onAction,(control As IRibbonControl)
checkBox_getDescription,checkBox,getDescription,"(control As IRibbonControl, ByRef description)"
checkBox_getEnabled,checkBox,getEnabled,"(control As IRibbonControl, ByRef enabled)"
checkBox_getImage,checkBox,getImage,"(control As IRibbonControl, ByRef image)"
checkBox_getImageMso,checkBox,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
checkBox_getKeytip,checkBox,getKeytip,"(control As IRibbonControl, ByRef label)"
checkBox_getLabel,checkBox,getLabel,"(control As IRibbonControl, ByRef label)"
checkBox_getPressed,checkBox,getPressed,"(control As IRibbonControl, ByRef returnValue)"
checkBox_getScreentip,checkBox,getScreentip,"(control As IRibbonControl, ByRef screentip)"
checkBox_getSize,checkBox,getSize,"(control As IRibbonControl, ByRef size)"
checkBox_getSupertip,checkBox,getSupertip,"(control As IRibbonControl, ByRef screentip)"
checkBox_getVisible,checkBox,getVisible,"(control As IRibbonControl, ByRef visible)"
checkBox_onAction,checkBox,onAction,"(control As IRibbonControl, pressed As Boolean)"
comboBox_getDescription,comboBox,getDescription,"(control As IRibbonControl, ByRef description)"
comboBox_getEnabled,comboBox,getEnabled,"(control As IRibbonControl, ByRef enabled)"
comboBox_getImage,comboBox,getImage,"(control As IRibbonControl, ByRef image)"
comboBox_getImageMso,comboBox,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
comboBox_getItemCount,comboBox,getItemCount,"(control As IRibbonControl, ByRef count)"
comboBox_getItemID,comboBox,getItemID,"(control As IRibbonControl, index As Integer, ByRef id)"
comboBox_getItemImage,comboBox,getItemImage,"(control As IRibbonControl, index As Integer, ByRef image)"
comboBox_getItemLabel,comboBox,getItemLabel,"(control As IRibbonControl, index As Integer, ByRef label)"
comboBox_getItemScreenTip,comboBox,getItemScreenTip,"(control As IRibbonControl, index As Integer, ByRef screentip)"
comboBox_getItemSuperTip,comboBox,getItemSuperTip,"(control As IRibbonControl, index As Integer, ByRef supertip)"
comboBox_getKeytip,comboBox,getKeytip,"(control As IRibbonControl, ByRef label)"
comboBox_getLabel,comboBox,getLabel,"(control As IRibbonControl, ByRef label)"
comboBox_getScreentip,comboBox,getScreentip,"(control As IRibbonControl, ByRef screentip)"
comboBox_getSize,comboBox,getSize,"(control As IRibbonControl, ByRef size)"
comboBox_getSupertip,comboBox,getSupertip,"(control As IRibbonControl, ByRef screentip)"
comboBox_getText,comboBox,getText,"(control As IRibbonControl, ByRef text)"
comboBox_getVisible,comboBox,getVisible,"(control As IRibbonControl, ByRef visible)"
comboBox_onChange,comboBox,onChange,"(control As IRibbonControl, text As String)"
customUI_getDescription,customUI,getDescription,"(control As IRibbonControl, ByRef description)"
customUI_getEnabled,customUI,getEnabled,"(control As IRibbonControl, ByRef enabled)"
customUI_getImage,customUI,getImage,"(control As IRibbonControl, ByRef image)"
customUI_getImageMso,customUI,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
customUI_getKeytip,customUI,getKeytip,"(control As IRibbonControl, ByRef label)"
customUI_getLabel,customUI,getLabel,"(control As IRibbonControl, ByRef label)"
customUI_getScreentip,customUI,getScreentip,"(control As IRibbonControl, ByRef screentip)"
customUI_getSize,customUI,getSize,"(control As IRibbonControl, ByRef size)"
customUI_getSupertip,customUI,getSupertip,"(control As IRibbonControl, ByRef screentip)"
customUI_getVisible,customUI,getVisible,"(control As IRibbonControl, ByRef visible)"
customUI_loadImage,customUI,loadImage,"(imageId As string, ByRef image)"
customUI_onLoad,customUI,onLoad,(ribbon As IRibbonUI)
dropDown_getDescription,dropDown,getDescription,"(control As IRibbonControl, ByRef description)"
dropDown_getEnabled,dropDown,getEnabled,"(control As IRibbonControl, ByRef enabled)"
dropDown_getImage,dropDown,getImage,"(control As IRibbonControl, ByRef image)"
dropDown_getImageMso,dropDown,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
dropDown_getItemCount,dropDown,getItemCount,"(control As IRibbonControl, ByRef count)"
dropDown_getItemID,dropDown,getItemID,"(control As IRibbonControl, index As Integer, ByRef id)"
dropDown_getItemImage,dropDown,getItemImage,"(control As IRibbonControl, index As Integer, ByRef image)"
dropDown_getItemLabel,dropDown,getItemLabel,"(control As IRibbonControl, index As Integer, ByRef label)"
dropDown_getItemScreenTip,dropDown,getItemScreenTip,"(control As IRibbonControl, index As Integer, ByRef screenTip)"
dropDown_getItemSuperTip,dropDown,getItemSuperTip,"(control As IRibbonControl, index As Integer, ByRef superTip)"
dropDown_getKeytip,dropDown,getKeytip,"(control As IRibbonControl, ByRef label)"
dropDown_getLabel,dropDown,getLabel,"(control As IRibbonControl, ByRef label)"
dropDown_getScreentip,dropDown,getScreentip,"(control As IRibbonControl, ByRef screentip)"
dropDown_getSelectedItemID,dropDown,getSelectedItemID,"(control As IRibbonControl, ByRef index)"
dropDown_getSelectedItemIndex,dropDown,getSelectedItemIndex,"(control As IRibbonControl, ByRef index)"
dropDown_getSize,dropDown,getSize,"(control As IRibbonControl, ByRef size)"
dropDown_getSupertip,dropDown,getSupertip,"(control As IRibbonControl, ByRef screentip)"
dropDown_getVisible,dropDown,getVisible,"(control As IRibbonControl, ByRef visible)"
dropDown_onAction,dropDown,onAction,"(control As IRibbonControl, selectedId As String, selectedIndex As Integer)"
dynamicMenu_getContent,dynamicMenu,getContent,"(control As IRibbonControl, ByRef content)"
dynamicMenu_getDescription,dynamicMenu,getDescription,"(control As IRibbonControl, ByRef description)"
dynamicMenu_getEnabled,dynamicMenu,getEnabled,"(control As IRibbonControl, ByRef enabled)"
dynamicMenu_getImage,dynamicMenu,getImage,"(control As IRibbonControl, ByRef image)"
dynamicMenu_getImageMso,dynamicMenu,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
dynamicMenu_getKeytip,dynamicMenu,getKeytip,"(control As IRibbonControl, ByRef label)"
dynamicMenu_getLabel,dynamicMenu,getLabel,"(control As IRibbonControl, ByRef label)"
dynamicMenu_getScreentip,dynamicMenu,getScreentip,"(control As IRibbonControl, ByRef screentip)"
dynamicMenu_getSize,dynamicMenu,getSize,"(control As IRibbonControl, ByRef size)"
dynamicMenu_getSupertip,dynamicMenu,getSupertip,"(control As IRibbonControl, ByRef screentip)"
dynamicMenu_getVisible,dynamicMenu,getVisible,"(control As IRibbonControl, ByRef visible)"
editBox_getDescription,editBox,getDescription,"(control As IRibbonControl, ByRef description)"
editBox_getEnabled,editBox,getEnabled,"(control As IRibbonControl, ByRef enabled)"
editBox_getImage,editBox,getImage,"(control As IRibbonControl, ByRef image)"
editBox_getImageMso,editBox,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
editBox_getKeytip,editBox,getKeytip,"(control As IRibbonControl, ByRef label)"
editBox_getLabel,editBox,getLabel,"(control As IRibbonControl, ByRef label)"
editBox_getScreentip,editBox,getScreentip,"(control As IRibbonControl, ByRef screentip)"
editBox_getSize,editBox,getSize,"(control As IRibbonControl, ByRef size)"
editBox_getSupertip,editBox,getSupertip,"(control As IRibbonControl, ByRef screentip)"
editBox_getText,editBox,getText,"(control As IRibbonControl, ByRef text)"
editBox_getVisible,editBox,getVisible,"(control As IRibbonControl, ByRef visible)"
editBox_onChange,editBox,onChange,"(control As IRibbonControl, text As String)"
gallery_getDescription,gallery,getDescription,"(control As IRibbonControl, ByRef description)"
gallery_getEnabled,gallery,getEnabled,"(control As IRibbonControl, ByRef enabled)"
gallery_getImage,gallery,getImage,"(control As IRibbonControl, ByRef image)"
gallery_getImageMso,gallery,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
gallery_getItemCount,gallery,getItemCount,"(control As IRibbonControl, ByRef count)"
gallery_getItemHeight,gallery,getItemHeight,"(control As IRibbonControl, ByRef height)"
gallery_getItemID,gallery,getItemID,"(control As IRibbonControl, index As Integer, ByRef id)"
gallery_getItemImage,gallery,getItemImage,"(control As IRibbonControl, index As Integer, ByRef image)"
gallery_getItemLabel,gallery,getItemLabel,"(control As IRibbonControl, index As Integer, ByRef label)"
gallery_getItemScreenTip,gallery,getItemScreenTip,"(control As IRibbonControl, index as Integer, ByRef screen)"
gallery_getItemSuperTip,gallery,getItemSuperTip,"(control As IRibbonControl, index as Integer, ByRef screen)"
gallery_getItemWidth,gallery,getItemWidth,"(control As IRibbonControl, ByRef width)"
gallery_getKeytip,gallery,getKeytip,"(control As IRibbonControl, ByRef label)"
gallery_getLabel,gallery,getLabel,"(control As IRibbonControl, ByRef label)"
gallery_getScreentip,gallery,getScreentip,"(control As IRibbonControl, ByRef screentip)"
gallery_getSelectedItemID,gallery,getSelectedItemID,"(control As IRibbonControl, ByRef index)"
gallery_getSelectedItemIndex,gallery,getSelectedItemIndex,"(control As IRibbonControl, ByRef index)"
gallery_getSize,gallery,getSize,"(control As IRibbonControl, ByRef size)"
gallery_getSupertip,gallery,getSupertip,"(control As IRibbonControl, ByRef screentip)"
gallery_getVisible,gallery,getVisible,"(control As IRibbonControl, ByRef visible)"
gallery_onAction,gallery,onAction,"(control As IRibbonControl, selectedId As String, selectedIndex As Integer)"
menuSeparator_getDescription,menuSeparator,getDescription,"(control As IRibbonControl, ByRef description)"
menuSeparator_getEnabled,menuSeparator,getEnabled,"(control As IRibbonControl, ByRef enabled)"
menuSeparator_getImage,menuSeparator,getImage,"(control As IRibbonControl, ByRef image)"
menuSeparator_getImageMso,menuSeparator,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
menuSeparator_getKeytip,menuSeparator,getKeytip,"(control As IRibbonControl, ByRef label)"
menuSeparator_getLabel,menuSeparator,getLabel,"(control As IRibbonControl, ByRef label)"
menuSeparator_getScreentip,menuSeparator,getScreentip,"(control As IRibbonControl, ByRef screentip)"
menuSeparator_getSize,menuSeparator,getSize,"(control As IRibbonControl, ByRef size)"
menuSeparator_getSupertip,menuSeparator,getSupertip,"(control As IRibbonControl, ByRef screentip)"
menuSeparator_getTitle,menuSeparator,getTitle,"(control As IRibbonControl, ByRef title)"
menuSeparator_getVisible,menuSeparator,getVisible,"(control As IRibbonControl, ByRef visible)"
toggleButton_getDescription,toggleButton,getDescription,"(control As IRibbonControl, ByRef description)"
toggleButton_getEnabled,toggleButton,getEnabled,"(control As IRibbonControl, ByRef enabled)"
toggleButton_getImage,toggleButton,getImage,"(control As IRibbonControl, ByRef image)"
toggleButton_getImageMso,toggleButton,getImageMso,"(control As IRibbonControl, ByRef imageMso)"
toggleButton_getKeytip,toggleButton,getKeytip,"(control As IRibbonControl, ByRef label)"
toggleButton_getLabel,toggleButton,getLabel,"(control As IRibbonControl, ByRef label)"
toggleButton_getPressed,toggleButton,getPressed,"(control As IRibbonControl, ByRef returnValue)"
toggleButton_getScreentip,toggleButton,getScreentip,"(control As IRibbonControl, ByRef screentip)"
toggleButton_getSize,toggleButton,getSize,"(control As IRibbonControl, ByRef size)"
toggleButton_getSupertip,toggleButton,getSupertip,"(control As IRibbonControl, ByRef screentip)"
toggleButton_getVisible,toggleButton,getVisible,"(control As IRibbonControl, ByRef visible)"
toggleButton_onAction,toggleButton,onAction,"(control As IRibbonControl, pressed As Boolean)"
